auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s
168,L,0.0837,5,0.753539031143926,0.745920413896401,0.759435421159288,0.759435421159288,1
169,H,0.0995,5,0.779548242259821,0.770251550107489,0.790929957695872,0.790929957695872,1
170,L,0.0837,5,0.7532162757512,0.745446151438037,0.758638403308198,0.758638403308198,1
171,H,0.0995,5,0.813570434025601,0.805814522484359,0.827295649523712,0.827295649523712,1
172,H,0.0995,5,0.752900114847696,0.742368414278677,0.761845343108593,0.761845343108593,1
173,H,0.0995,5,0.755997180554415,0.75549822417192,0.778072218737125,0.778072218737125,1
174,H,0.0995,5,0.749753644440321,0.738495750900447,0.754826209312807,0.754826209312807,1
175,L,0.0837,5,0.906757363112744,0.920956012729867,0.936764269999258,0.936764269999258,1
176,L,0.0837,5,0.817091005935783,0.81552637592143,0.831459758449202,0.831459758449202,1
177,L,0.0837,5,0.755887385240926,0.753429981201084,0.769293342560971,0.769293342560971,1
178,L,0.0837,5,0.924650108118839,0.917605828303801,0.931861558242726,0.931861558242726,1
179,L,0.0837,5,0.822522044412333,0.815782187239312,0.830297643214862,0.830297643214862,1
180,L,0.0837,5,0.747753509617496,0.741290381529641,0.749019867266098,0.749019867266098,1
181,L,0.0837,5,0.752508101373987,0.744553827926085,0.757037905419034,0.757037905419034,1
182,H,0.0995,5,0.755001118516188,0.747501184686876,0.769079117197075,0.769079117197075,1
183,L,0.0837,5,0.908231612713951,0.90602393798989,0.921910840592964,0.921910840592964,1
184,L,0.0837,5,0.779588409400325,0.781118976102327,0.79708311493818,0.79708311493818,1
185,L,0.0837,5,0.753700692006679,0.746177643158582,0.759854311284222,0.759854311284222,1
186,H,0.0995,5,0.748477177622094,0.737458182814192,0.752512174405211,0.752512174405211,1
187,H,0.0995,5,0.752694524786668,0.742028079820104,0.761299418588158,0.761299418588158,1
188,H,0.0995,5,0.808947393680092,0.804893923697445,0.827246261936299,0.827246261936299,1
189,H,0.0995,5,0.921666443063025,0.91423537987108,0.935838051292066,0.935838051292066,1
190,H,0.0995,5,0.749853765455782,0.73858674457419,0.755017324002273,0.755017324002273,1
191,L,0.0837,5,0.753948261651418,0.746601232183472,0.760525469953851,0.760525469953851,1
192,L,0.0837,5,0.782383378700088,0.776621978071201,0.791648296263183,0.791648296263183,1
193,H,0.0995,5,0.754329601314664,0.745388333740284,0.766294749044253,0.766294749044253,1
194,L,0.0837,5,0.751321198153149,0.743387367369557,0.754684541641667,0.754684541641667,1
195,H,0.0995,5,0.755999840533231,0.755880155274774,0.778456809819565,0.778456809819565,1
196,L,0.0837,5,0.755594485432621,0.751314938551114,0.766885400102697,0.766885400102697,1
197,H,0.0995,5,0.870798641025652,0.867894314553471,0.890363344088998,0.890363344088998,1
198,L,0.0837,5,0.835686245120955,0.828029434933929,0.841472310454099,0.841472310454099,1
199,L,0.0837,5,0.798016780798327,0.790325925635889,0.803699956099852,0.803699956099852,1
200,L,0.0837,5,0.949244545787793,0.944387967596404,0.959805611028474,0.959805611028474,1
