auction_id,mechanism,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
11,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,15,0.112030128314232,0.112030128314232,0,2.22044604925031e-16,0.966787760976842,0.0176492414323789,0.112030128314232,0,0,0.15
12,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.113217981331335,0.0310709797833137,0.0821470015480211,2.22044604925031e-16,0.988351922843828,-0.0122065548427258,0.111258394839594,-0.00195958649174097,0,0.15
12,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,14,0.113005342983351,0.113005342983351,0,2.22044604925031e-16,0.975387536978125,0.0228181718408802,0.113005342983351,0,0,0.15
13,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,15,0.113184127460683,0.0284150143370548,0.0847691131236287,2.22044604925031e-16,0.984920303709157,-0.0589994844832834,0.106904501005536,-0.00627962645514764,0,0.15
13,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,13,0.113907395551658,0.113907395551658,0,2.22044604925031e-16,0.974610876944237,0.0364605728369086,0.113907395551658,0,0,0.15
14,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.112668516421986,0.0619206714614432,0.0507478449605425,2.22044604925031e-16,0.976649372154758,-0.0992994546441806,0.106444289051415,-0.00622422737057095,0,0.15
14,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,13,0.112341172052874,0.112341172052874,0,2.22044604925031e-16,0.969530649902456,-0.0336081551292343,0.112341172052874,0,0,0.15
15,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,15,0.112716378842714,0.0502663389763011,0.062450039866413,2.22044604925031e-16,0.973164997362373,-0.0595127102981665,0.1073239607275,-0.0053924181152139,0,0.15
15,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,15,0.112664894672578,0.112664894672578,0,2.22044604925031e-16,0.963654078435248,-0.102688532019283,0.112664894672578,0,0,0.15
16,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.113205627831684,0.0321017785697822,0.0811038492619019,2.22044604925031e-16,0.987963137161935,-0.0547772034861428,0.107786749867951,-0.00541887796373329,0,0.15
16,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,13,0.113497970747456,0.113497970747456,0,2.22044604925031e-16,0.979731696620016,0.128224504210952,0.113497970747456,0,0,0.15
17,UP,H,0.0995,15,0.983564843996916,0.0676008545325822,14,0.112924460166499,0.0420186497997864,0.0709058103667122,2.22044604925031e-16,0.977618595031218,-0.00494040681315679,0.110987184961413,-0.00193727520508516,0,0.15
17,FP,H,0.0995,15,0.909384242453184,0.0491177190212174,13,0.112212692626975,0.112212692626975,0,2.22044604925031e-16,0.959666406780972,0.0403042221707809,0.112212692626975,0,0,0.15
18,UP,L,0.0837,15,0.984061708305826,0.0678863449678831,15,0.111399632472684,0.101606518675088,0.00979311379759598,2.22044604925031e-16,0.961385432944916,-0.0359512960310152,0.110669400490066,-0.000730231982618124,0,0.15
18,FP,L,0.0837,15,0.909384242453184,0.0491177189268801,13,0.113619299532825,0.113619299532825,0,2.22044604925031e-16,0.98080161536458,-0.0569487797199891,0.113619299532825,0,0,0.15
