auction_id,risk,sigma,n,up_win_score,up_pay_final,fp_win_score,fp_pay_final,scale_s,n_level
99,L,0.0837,3,0.144883916029132,0.144453795300591,0.146826381064508,0.146826381064508,0.15,3
100,L,0.0837,3,0.117566802029182,0.116778718236569,0.119071956363425,0.119071956363425,0.15,3
101,L,0.0837,3,0.119216477037598,0.118621488401133,0.120967336480348,0.120967336480348,0.15,3
102,H,0.0995,3,0.149030851442448,0.151117293018349,0.152863147055903,0.152863147055903,0.15,3
103,L,0.0837,3,0.135294288557986,0.134509517565702,0.13680392479032,0.13680392479032,0.15,3
104,L,0.0837,3,0.117675980371127,0.117199035530704,0.119565332061315,0.119565332061315,0.15,3
105,H,0.0995,3,0.113351666165568,0.112639177246637,0.115977365458679,0.115977365458679,0.15,3
106,L,0.0837,3,0.113199346409316,0.112213793041179,0.1144095357808,0.1144095357808,0.15,3
107,H,0.0995,3,0.152307296017965,0.151173345175683,0.154406750736561,0.154406750736561,0.15,3
108,L,0.0837,3,0.112997515931532,0.111838293263158,0.113832205525732,0.113832205525732,0.15,3
109,H,0.0995,3,0.128158657766679,0.127138090443252,0.130408896118995,0.130408896118995,0.15,3
110,L,0.0837,3,0.15026127908857,0.151188379741373,0.153518812197641,0.153518812197641,0.15,3
111,L,0.0837,3,0.113015831392497,0.111865189425888,0.11387741714937,0.11387741714937,0.15,3
112,L,0.0837,3,0.116425412544792,0.115511211884414,0.116583170505722,0.116583170505722,0.15,3
113,H,0.0995,3,0.139170838934189,0.139639150836033,0.14301139656782,0.14301139656782,0.15,3
114,H,0.0995,3,0.124368416011007,0.123731374465597,0.127080487661675,0.127080487661675,0.15,3
115,L,0.0837,3,0.121784795919446,0.121058824481281,0.123372219228527,0.123372219228527,0.15,3
116,L,0.0837,3,0.158225701380782,0.15764134352366,0.159989334652398,0.159989334652398,0.15,3
117,L,0.0837,3,0.13366216135728,0.132583046354392,0.134698538985789,0.134698538985789,0.15,3
118,L,0.0837,3,0.113154790758862,0.11211208361408,0.114263270703436,0.114263270703436,0.15,3
119,H,0.0995,3,0.113298639425555,0.112329592986567,0.115614754458596,0.115614754458596,0.15,3
120,H,0.0995,3,0.132472866029945,0.131973173931187,0.13533790814844,0.13533790814844,0.15,3
121,H,0.0995,3,0.153491426945632,0.153142566895273,0.156519039494139,0.156519039494139,0.15,3
