auction_id,risk,sigma,N_potential,delta,kbar,n,win_score,win_b0,win_b2,win_e0,win_e2,epsilon,pay_final,overrun,skipped,scale_s
26,H,0.0995,10,0.560677050330648,0.0216423268408614,9,0.0755516756889023,0.0755516756889023,0,2.22044604925031e-16,0.969497279974976,-0.253847038345446,0.0755516756889023,0,0,0.1
27,H,0.0995,10,0.560677050330648,0.0216423268408614,3,0.109556043717501,0.109556043717501,0,1.38018853687444,0.986612355064688,0.0707649268333332,0.109556043717501,0,0,0.1
28,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0858303769764157,0.0858303769764157,0,0.333677438447857,1.00085370932259,0.0748470926869607,0.0858303769764157,0,0,0.1
29,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0765181873694829,0.0765181873694829,0,2.22044604925031e-16,0.991013121106759,-0.017076932470784,0.0765181873694829,0,0,0.1
30,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0761389062081341,0.0761389062081341,0,2.22044604925031e-16,0.985996145639878,0.0448899557495229,0.0761389062081341,0,0,0.1
31,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.085484258674063,0.085484258674063,0,0.337208100589466,0.995168589727649,-0.00162124256053344,0.085484258674063,0,0,0.1
32,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0770544566878979,0.0770544566878979,0,2.22044604925031e-16,0.989375335463246,0.057737279454826,0.0770544566878979,0,0,0.1
33,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0757362025263617,0.0757362025263617,0,2.22044604925031e-16,0.971938111069116,0.00714989220944808,0.0757362025263617,0,0,0.1
34,H,0.0995,10,0.560677050330648,0.0216423268408614,3,0.0957972092493301,0.0957972092493301,0,0.743520004181953,1.00420772210355,0.103537730020447,0.0957972092493301,0,0,0.1
35,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0860060007014476,0.0860060007014476,0,0.328204977309581,1.00489234666643,0.0274165202734617,0.0860060007014476,0,0,0.1
36,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0957401543474559,0.0957401543474559,0,0.788553621362616,0.989335348131769,-0.0176926116669011,0.0957401543474559,0,0,0.1
37,H,0.0995,10,0.560677050330648,0.0216423268408614,8,0.0751584106975302,0.0751584106975302,0,2.22044604925031e-16,0.964295362055183,0.0620465186367469,0.0751584106975302,0,0,0.1
38,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0880918351333935,0.0880918351333935,0,0.455238591358052,1.00139004615337,-0.206254443616279,0.0880918351333935,0,0,0.1
39,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0762887169201732,0.0762887169201732,0,2.22044604925031e-16,0.979246502253123,-0.14330578146898,0.0762887169201732,0,0,0.1
40,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0763679791997868,0.0763679791997868,0,2.22044604925031e-16,0.98029494510631,-0.0073537303823473,0.0763679791997868,0,0,0.1
41,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0756096789149089,0.0756096789149089,0,2.22044604925031e-16,0.978995812295941,0.10021694079462,0.0756096789149089,0,0,0.1
42,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.10075137625167,0.10075137625167,0,1.03303686357586,0.987709061344549,-0.108761865107483,0.10075137625167,0,0,0.1
43,L,0.0837,10,0.560677050330648,0.0216423263814932,3,0.075967634557849,0.075967634557849,0,2.22044604925031e-16,0.983730647433262,0.152751900398851,0.075967634557849,0,0,0.1
44,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.075464255576175,0.075464255576175,0,2.22044604925031e-16,0.977072195755025,0.028004287075693,0.075464255576175,0,0,0.1
45,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0743587797549218,0.0743587797549218,0,2.22044604925031e-16,0.962449499274614,-0.0481736304949629,0.0743587797549218,0,0,0.1
46,L,0.0837,10,0.560677050330648,0.0216423263814932,7,0.0763602794478591,0.0763602794478591,0,2.22044604925031e-16,0.98892436342369,0.0396897279482137,0.0763602794478591,0,0,0.1
47,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.108442018405525,0.108442018405525,0,1.32921687617414,0.996586885446579,-0.0348672780390862,0.108442018405525,0,0,0.1
48,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.075454761074318,0.075454761074318,0,2.22044604925031e-16,0.968215340259718,0.0843679019787471,0.075454761074318,0,0,0.1
49,H,0.0995,10,0.560677050330648,0.0216423268408614,6,0.0887856625293762,0.0887856625293762,0,0.488001035327198,0.991565565316813,0.0920434268654267,0.0887856625293762,0,0,0.1
50,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0761905407026615,0.0761905407026615,0,2.22044604925031e-16,0.986679141599761,0.0555616942994256,0.0761905407026615,0,0,0.1
51,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.0868101676079453,0.0868101676079453,0,0.41334545994296,0.997569875649695,-0.0151224362033068,0.0868101676079453,0,0,0.1
52,L,0.0837,10,0.560677050330648,0.0216423263814932,4,0.075572145265439,0.075572145265439,0,2.22044604925031e-16,0.978499307615793,0.0117220129963486,0.075572145265439,0,0,0.1
53,L,0.0837,10,0.560677050330648,0.0216423263814932,3,0.0785306586234341,0.0785306586234341,0,0.173598094053696,0.963211457440042,-0.119982781705312,0.0785306586234341,0,0,0.1
54,L,0.0837,10,0.560677050330648,0.0216423263814932,2,0.0745341770803443,0.0745341770803443,0,2.22044604925031e-16,0.964769569688467,-0.070213021922379,0.0745341770803443,0,0,0.1
55,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0938987224587747,0.0938987224587747,0,0.713059032081046,0.997376002443978,0.0353528070529206,0.0938987224587747,0,0,0.1
56,H,0.0995,10,0.560677050330648,0.0216423268408614,5,0.0763562313121401,0.0763562313121401,0,2.22044604925031e-16,0.980139550051154,0.000869889211410601,0.0763562313121401,0,0,0.1
57,L,0.0837,10,0.560677050330648,0.0216423263814932,5,0.0753548490767282,0.0753548490767282,0,2.22044604925031e-16,0.975625046901547,-0.0548354275582177,0.0753548490767282,0,0,0.1
58,L,0.0837,10,0.560677050330648,0.0216423263814932,6,0.0744581877415393,0.0744581877415393,0,2.22044604925031e-16,0.963764419876724,0.00638147347071005,0.0744581877415393,0,0,0.1
59,H,0.0995,10,0.560677050330648,0.0216423268408614,4,0.0815660214635595,0.0815660214635595,0,0.158884120722315,0.999243206995301,-0.0671041125790119,0.0815660214635595,0,0,0.1
60,H,0.0995,10,0.560677050330648,0.0216423268408614,7,0.0756180112093591,0.0756180112093591,0,2.22044604925031e-16,0.970374733582427,-0.0936640974941638,0.0756180112093591,0,0,0.1
